,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,KO - 1,KO - 2,KO - 3,KO - 4,WT - 1,WT - 2,WT - 3,WT - 4,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,Blank_6,ttest_pval,1/pvalue,KO_Mean,WT_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
77,L-Glutamine,C5H10N2O3,+,ESI,10.1,12.1,10,0.2,147.0764,147.0762,-1.6,S02482,11.31,11.31,11.44,0.14,37630.42857142857,37630.42857142857,37630.42857142857,37630.42857142857,37630.42857142857,37630.42857142857,37630.42857142857,37630.42857142857,9857,9453,7005,11672,7717,11423,7344,NA,NA,37630.42857142857,37630.42857142857,0.0,1.0,37630.42857142857,37630.42857142857,0.0,0
78,L-Histidine,C6H9N3O2,+,ESI,9.9,11.9,10,0.2,156.0768,156.0766,-0.9,S02474,11.9,11.68,11.92,0.24,281527.0,261338.0,395948.0,197357.0,371213.0,570404.0,280688.0,336430.0,14148,17050,12020,15127,10489,19068,10225,0.21089286734653734,4.741744055083706,284042.5,389683.75,-0.45619696184117353,0.7289051698973847,52054.42857142857,336863.125,2.0,8
79,L-Isoleucine,C6H13NO2,+,ESI,6.0,7.5,10,0.2,132.1019,132.1018,-0.9,S02483,7.35,7.29,7.38,0.09,51638.71428571429,51638.71428571429,51638.71428571429,51638.71428571429,51638.71428571429,51638.71428571429,51638.71428571429,51638.71428571429,11859,13513,15514,12701,14467,15708,13395,NA,NA,51638.71428571429,51638.71428571429,0.0,1.0,51638.71428571429,51638.71428571429,0.0,0
80,L-Kynurenine,C10H12N2O3,+,ESI,6.0,8.0,10,0.2,209.0921,209.0921,0.0,S02474,7.29,7.23,7.43,0.19,10000.0,10000.0,10000.0,10000.0,10826.0,12467.0,10000.0,10000.0,0,0,0,0,0,0,0,0.20659129267751467,4.840475060877721,10000.0,10823.25,-0.11413377595246865,0.9239368951100639,10000.0,10411.625,0.0,2
81,L-Lactic acid,C3H6O3,-,ESI,6.2,8.2,20,0.2,89.0244,89.0232,-13.2,S02483,7.2,7.03,7.35,0.32,22783.0,22783.0,49417.0,22783.0,22783.0,22783.0,22783.0,27986.0,0,0,0,1720,0,0,28107,0.45975300092906146,2.1750809629936425,29441.5,24083.75,0.28979112960478237,1.2224632791820211,22783.0,26762.625,0.0,2
82,L-Leucine,C6H13NO2,+,ESI,7.5,9.0,10,0.2,132.1019,132.1017,-1.2,S02483,7.75,7.68,7.86,0.18,280329.0,461249.0,433671.0,330536.0,548486.0,434913.0,401250.0,407857.0,52791,44985,58193,45731,48321,44240,37640,0.23782162898997783,4.204832017369377,376446.25,448126.5,-0.25146215515666603,0.8400446079399455,152243.2857142857,412286.375,2.0,8
83,L-Lysine,C6H14N2O2,+,ESI,17.0,18.5,10,0.2,147.1128,147.1126,-1.5,S02468,18.41,18.41,18.49,0.08,12183594.0,10128006.0,14062091.0,12511317.0,14545772.0,17413912.0,14158045.0,15564436.0,973545,960334,646923,1095347,476384,967315,436913,0.02594517164628024,38.542816892227805,12221252.0,15420541.25,-0.3354613148148848,0.7925306772225003,2391469.0,13820896.625,672.0,8
84,L-Malic acid,C4H6O5,-,ESI,12.2,14.2,10,0.2,133.0142,133.0131,-8.5,S02468,13.26,13.24,13.34,0.09,4626608.0,4165649.0,4715094.0,4324103.0,5150466.0,5823785.0,4627628.0,4978444.0,8156,26754,10568,14834,16783,20676,10633,0.050666937165731424,19.73673673482576,4457863.5,5145080.75,-0.2068412779421614,0.8664321740722922,56458.857142857145,4801472.125,109.0,8
85,L-Methionine,C5H11NO2S,+,ESI,6.8,8.8,10,0.2,150.0583,150.0581,-1.5,S02483,7.99,7.99,8.09,0.11,11940224.0,10872674.0,12410737.0,11296995.0,13857913.0,16149392.0,13467908.0,13252141.0,7725,8656,5550,1112571,92551,1414426,140583,0.014413190760309662,69.38088981336118,11630157.5,14181838.5,-0.2861739378078317,0.820074033419574,1202312.2857142857,12905998.0,1092.0,8
86,L-Phenylalanine,C9H11NO2,+,ESI,5.6,7.6,10,0.2,166.0863,166.0859,-2.0,S02483,6.81,6.74,7.06,0.33,13828592.0,11948896.0,12332565.0,10438096.0,14556623.0,18898790.0,13597409.0,15050937.0,2489,4709,2463,751570,19828,1198514,33562,0.04664027249711468,21.440698058997473,12137037.25,15525939.75,-0.3552643032359341,0.7817264169146347,872772.1428571427,13831488.5,379.0,8
87,L-Proline,C5H9NO2,+,ESI,7.9,9.9,10,0.2,116.0706,116.0707,0.8,S02483,9.17,9.11,9.23,0.12,3310622.0,2893115.0,3188737.0,2798374.0,3891168.0,4542091.0,3418555.0,3805172.0,0,1241,0,190234,5989,397606,9322,0.01640746013961078,60.94788538207731,3047712.0,3914246.5,-0.36100803391723385,0.7786203551564778,269025.14285714284,3480979.25,272.0,8
88,L-Serine,C3H7NO3,+,ESI,10.8,12.8,10,0.2,106.0499,106.0502,3.3,S02483,12.04,11.97,12.09,0.13,72232.85714285714,72232.85714285714,72232.85714285714,72232.85714285714,72232.85714285714,72232.85714285714,72232.85714285714,72232.85714285714,21738,27177,22593,19527,19068,17085,18022,NA,NA,72232.85714285714,72232.85714285714,0.0,1.0,72232.85714285714,72232.85714285714,0.0,0
89,L-Threonine,C4H9NO3,-,ESI,9.5,11.5,10,0.2,118.051,118.0498,-9.6,S02468,10.79,10.73,10.95,0.22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
