Metabolite	Formula	Polarity (z)	Ion Mode	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S05601	S05602	S05603	S05604	S05605	S05606	S05607	S05608	S05609	S05610	S05611	S05612	S05613	S05614	S05615	SQ363_B_0	SQ363_B_1	SQ363_B_2	SQ363_B_3	SQ363_B_4	SQ363_B_5
FAD	C27H33N9O15P2	+	ESI	7.6	9.6	10	0.2	786.1644	786.1671	3.4	S05603	8.69	8.56	8.82	0.26	10	3194	5136	9218	2632	0	2894	3859	0	0	3000	0	2829	2989	0	2496	0	0	0	0	0	0
Folic acid	C19H19N7O6	+	ESI	2	4	10	0.2	442.147	442.1451	-4.2	SQ363_ISTD_0	3.22	3.22	3.22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fructose 1,6-bisphosphate"	C6H14O12P2	-	ESI	14.1	16.1	10	0.2	338.9888	338.987	-5.3	SQ363_B_0	15.86	15.86	15.86	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1081	0	0	0	0	0
Fructose 6-phosphate	C6H13O9P	-	ESI	12.6	13.5	10	0.2	259.0224	259.0214	-3.9	S05612	13.12	12.96	13.34	0.37	24	34388	38853	42424	39395	45472	40362	22789	7539	27350	45010	35604	46158	24348	16886	17614	26862	11369	15982	8132	8545	4600
Fumaric acid	C4H4O4	-	ESI	12.2	14.2	10	0.2	115.0037	115.0025	-10	S05602	13.23	13.01	13.41	0.4	24	83161	193494	66120	99334	60607	49885	64677	50585	36041	47245	49423	74131	27482	83270	105081	125754	50016	45191	23088	23557	17317
Glucose 6-phosphate	C6H13O9P	-	ESI	13.6	14.4	10	0.2	259.0224	259.0212	-4.8	SQ363_ISTD_0	13.71	13.71	13.96	0.24	24	30152	26604	30036	18445	44544	14682	26301	6942	26986	41939	33112	42195	16714	9134	15319	45226	18927	13140	8107	5219	3821
Glutathione	C10H17N3O6S	+	ESI	10	13	10	0.2	308.0911	308.0907	-1.2	SQ363_ISTD_0	10.86	10.64	11.11	0.47	5	0	0	0	0	0	0	3233	0	0	0	0	0	0	0	0	12302	2822	3972	0	0	0
Glycerol 3-phosphate	C3H9O6P	-	ESI	11.5	13	10	0.2	171.0064	171.0052	-7	S05603	12.11	11.87	12.15	0.28	24	1434430	1517692	1763767	1237597	1269350	1496253	207013	66393	249015	1139669	691020	1108918	829205	255971	682214	112310	11911	167795	29176	38300	11432
Glycine	C2H5NO2	+	ESI	10.7	12.7	20	0.2	76.0393	76.0399	7.2	S05612	11.96	11.72	11.99	0.27	24	4225166	4711708	4877140	5048648	4551762	4424728	1099157	902625	790865	5420766	4195625	6108790	2698572	1733634	2424184	384019	16601	449105	27585	92598	16192
Guanidoacetic acid	C3H7N3O2	+	ESI	10.7	12.7	10	0.2	118.0611	118.0611	-0.3	S05612	12.03	11.99	12.1	0.11	24	2490613	1668758	1888442	1980846	1978182	1282625	31974	12747	39490	2678111	2434019	3758790	458817	333533	417117	27710	7010	25187	6601	7376	6241
